ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,3,31,3149309,2,2,1,135633537,161936983,B,C,C,NA,NA,A,B,E,NA,B
2017,1,15,1505536,2,3,1,199044289,206545097,A,C,H,A,B,A,A,C,C,A
2017,3,31,3147907,2,3,1,117058369,14055241,B,F,D,A,A,B,B,B,D,B
2017,5,52,5211800,2,3,1,168482679,204476969,A,A,C,C,A,A,C,A,B,C
2017,5,51,5103403,1,2,1,231284429,201293845,B,C,C,A,C,A,B,C,A,B
2017,1,15,1501402,1,3,1,176531874,215870508,B,C,D,B,A,A,A,D,A,A
2017,2,29,2933307,2,3,2,20113927,230572482,B,F,C,A,A,B,A,A,D,A
2017,3,35,3515004,2,3,1,289633314,24860575,B,D,D,C,C,A,A,B,B,B
2017,1,13,1302603,1,2,1,29619543,304738583,A,A,D,C,A,A,A,E,A,B
2017,4,43,4313706,2,2,1,20803156,265651401,A,A,E,B,A,A,C,E,A,C
2017,5,51,5105234,2,2,1,189032779,214339617,B,C,D,A,A,A,B,D,A,A
2017,2,24,2400703,2,3,2,124593212,151758263,A,A,G,A,A,A,A,B,B,B
2017,5,52,5218508,2,3,1,258172139,293538655,A,A,D,B,A,A,A,B,D,A
2017,3,31,3168705,2,2,1,203432366,235964135,A,F,D,A,A,NA,A,NA,C,C
2017,2,24,2409902,2,3,1,145420652,134247365,B,C,F,A,C,A,A,A,D,B
2017,2,23,2302404,2,3,1,214724907,190039589,B,C,E,A,A,B,A,C,C,A
2017,3,33,3302700,2,3,2,260700539,233335855,A,F,D,B,A,A,B,D,A,B
2017,2,23,2312403,2,3,1,226399797,140944439,A,F,D,A,A,B,NA,A,E,A
2017,2,29,2922508,2,3,1,242996287,277872259,A,C,C,A,A,B,A,NA,A,B
2017,1,16,1600600,2,2,1,183426092,134628383,B,C,C,B,A,B,A,A,A,B
2017,4,41,4108502,2,3,1,182170294,227958398,A,C,C,A,A,NA,B,A,A,A
2017,5,53,5300108,1,2,1,179061541,195693713,A,B,D,D,C,B,A,B,C,C
2017,2,26,2601003,2,3,1,166699582,143761636,B,D,C,A,A,A,C,B,A,C
2017,3,31,3152105,2,3,1,212912281,183110114,A,E,E,C,C,A,B,C,A,B
2017,3,33,3301702,2,3,1,165826683,221693091,A,C,D,A,A,A,B,D,A,B
2017,2,27,2708600,2,3,1,247145864,2125609,A,C,C,B,A,A,A,A,B,A
2017,1,15,1504703,2,3,1,170022759,179504892,B,C,C,A,A,B,C,E,A,C
2017,4,42,4211207,2,3,1,220160639,173675769,A,A,C,B,A,B,A,D,B,A
2017,2,25,2501104,2,3,1,114082941,134268324,A,C,D,A,A,A,A,D,E,B
2017,1,17,1716505,2,3,1,197727889,241973008,B,C,D,A,A,C,A,D,B,A
2017,1,13,1302603,1,2,1,181615559,17784584,B,C,C,A,A,A,A,C,A,B
2017,1,13,1302603,1,3,1,265347113,27573393,A,C,G,A,A,B,A,D,A,A
2017,3,31,3170107,2,2,1,192590928,190361026,A,B,D,A,A,B,A,D,A,B
2017,3,35,3512803,2,3,1,279761851,30132658,A,C,D,B,A,A,A,D,E,C
2017,4,41,4116208,2,3,1,21363483,223940522,B,C,C,C,A,A,A,A,B,A
2017,4,43,4313409,2,3,1,238400729,214610975,A,A,C,A,A,A,C,A,C,B
2017,3,31,3113008,2,3,1,131486659,180136475,A,C,C,B,A,C,C,A,NA,A
2017,3,35,3552502,2,2,1,276417078,261610945,B,A,C,B,A,B,A,B,E,C
2017,2,26,2609600,2,3,1,211662157,139385714,A,A,G,A,A,B,B,D,A,B
2017,3,35,3546009,2,3,1,128359229,161501749,A,F,D,A,A,A,A,B,A,B
2017,4,43,4322343,2,3,2,154596948,196015485,B,A,D,A,A,A,A,A,B,A
2017,4,43,4305108,2,3,1,286320716,263312866,B,A,C,C,A,A,A,D,A,C
2017,2,29,2902906,2,3,2,136094338,179136282,A,C,G,A,A,B,A,A,B,C
2017,2,21,2100873,2,3,1,146691987,125106007,B,F,D,A,A,A,A,B,B,A
2017,3,35,3502804,2,3,1,320311998,259766554,B,C,C,B,A,A,A,D,E,A
2017,3,31,6308166,2,3,2,22339192,205190602,B,A,C,A,A,A,NA,E,B,A
2017,2,22,2205508,2,3,1,265334166,255337869,A,C,C,A,A,B,C,D,A,B
2017,3,35,3518800,2,2,1,233195563,28300418,B,C,D,B,A,A,A,C,B,C
2017,3,35,3509502,2,2,1,26976494,306151597,A,C,C,C,A,C,B,D,B,C
2017,3,31,3122306,2,3,2,318224896,320161232,A,F,C,B,A,A,A,C,B,B
2017,1,13,1304302,2,2,1,190664754,234613665,B,A,C,B,B,A,C,D,A,C
2017,3,35,3552502,2,3,1,241134627,214032768,B,B,C,A,A,A,A,A,E,C
2017,1,13,1302603,1,3,1,276829451,28920236,A,F,D,C,B,B,A,E,D,C
2017,3,32,3200805,2,3,1,205993876,21689345,A,C,D,B,A,A,B,D,E,A
2017,1,11,1100205,1,2,1,214361952,244206745,B,C,C,B,A,A,A,A,A,C
2017,2,21,2112605,2,3,1,136983434,169535377,A,A,D,A,A,NA,A,D,D,C
2017,1,17,1714880,2,3,1,107327283,185811502,A,NA,D,B,A,A,B,D,B,B
2017,3,31,3127701,2,2,1,215683256,184301795,A,NA,D,B,A,A,B,B,NA,B
2017,3,31,3118007,2,3,1,27521158,274098744,B,C,D,D,A,A,A,D,E,A
2017,3,33,3304557,1,3,1,168165451,239121213,A,B,E,B,A,B,B,D,A,B
2017,1,13,1302603,1,2,1,217300246,250138374,B,C,D,B,A,A,A,D,A,A
2017,4,43,4305108,2,3,1,181625145,23313168,A,A,D,NA,A,A,A,E,C,C
2017,2,27,2707701,2,3,1,247427115,214840021,B,A,F,A,A,B,B,B,B,A
2017,2,29,2913200,2,3,2,223665789,193034244,B,F,C,A,A,A,C,D,D,A
2017,3,35,3509601,2,3,1,178398217,20738555,A,C,E,B,A,B,B,C,E,B
2017,3,31,3150802,2,3,1,217867157,209661429,A,C,D,NA,A,A,B,D,NA,A
2017,2,29,2925006,2,3,1,28845035,227703585,B,C,D,C,A,A,A,B,A,C
2017,4,43,4304606,2,2,1,225335724,220141632,A,NA,D,A,A,B,C,C,D,C
2017,3,35,3550308,1,3,1,259545727,23334966,B,A,D,B,A,B,A,B,E,B
2017,3,35,3529005,2,2,1,240288834,28294717,B,E,C,D,A,B,B,C,E,C
2017,2,24,2402006,2,3,1,233963234,193535319,A,C,C,B,C,C,A,A,A,A
2017,1,15,1505304,2,3,2,152289142,157587162,B,B,D,A,A,A,A,C,B,B
2017,4,41,4116703,2,3,1,325517054,266482576,B,C,C,D,A,A,A,B,A,B
2017,3,31,3102803,2,3,1,233974418,248565452,A,A,D,A,B,A,A,A,B,A
2017,5,52,5221858,2,3,1,235358088,269116334,A,E,D,B,A,A,B,B,D,B
2017,1,17,1713809,2,2,1,233195839,166004882,B,C,D,C,A,A,B,A,A,B
2017,3,35,3513702,2,3,1,244301063,23171671,B,E,D,B,A,A,A,A,E,B
2017,1,15,1505304,2,3,1,155302033,13598433,A,C,G,A,A,B,C,A,A,A
2017,4,41,4106902,1,3,1,253141509,291924484,A,A,C,A,A,A,A,A,A,A
2017,1,13,1302603,1,3,1,194276565,148002746,B,C,D,B,A,A,A,A,A,A
2017,3,33,3302908,2,3,1,234267735,279643319,A,F,D,B,A,A,A,B,E,C
2017,1,16,1600303,1,3,1,230354233,215698975,B,C,D,A,A,B,A,C,B,B
2017,2,23,2304400,1,3,1,224610475,263938748,B,C,D,A,A,B,B,D,C,B
2017,3,33,3304904,2,3,1,210018171,198924849,B,A,D,B,A,B,A,D,B,C
2017,3,35,3516200,2,2,1,265017985,330812522,B,A,C,A,A,A,A,C,B,A
2017,2,23,2306306,2,3,1,200545528,192813749,B,C,D,A,C,B,NA,A,A,B
2017,2,25,2507507,1,2,1,17317151,199266966,B,C,C,A,A,B,C,E,E,A
2017,3,33,3303302,2,3,1,175741009,193647048,B,B,F,A,A,B,A,D,E,B
2017,2,26,2609600,2,3,1,183317063,202281239,B,C,D,B,A,B,A,D,C,A
2017,3,35,3550308,1,2,1,188839621,190935264,B,NA,C,B,A,B,A,B,B,A
2017,2,21,2112209,2,3,1,214691906,215872856,B,A,D,A,A,C,C,B,A,C
2017,2,24,2404903,2,3,1,205115358,185203729,A,C,C,B,A,A,B,A,B,B
